Page,title,topic,isbn,pages,year,online_access,format,editorial,ebook-price,hardcover-price,softcover-price,print-price,print-ebook-price,authors
2,"Novel Techniques in Recovering, Embedding, and Enforcing Policies for Control-Flow Integrity",Systems and Data Security,978-3-030-73140-3,"XII, 123",2021,0,5,Springer International Publishing,84.99,NA,109.99,NA,NA,"Lin, Y. (2021)"
2,Managing Natural Resource Conflicts with Participatory Mapping and PGIS Applications,Geography (general),978-3-030-74165-5,"XIV, 234",2021,0,5,Springer International Publishing,119.00,159.99,NA,NA,NA,"Kyem, P. A. K. (2021)"
2,Theoremus,Mathematics of Computing,978-3-030-68374-0,"XII, 147",2021,0,5,Springer International Publishing,84.99,NA,109.99,NA,NA,"Cruz, L. P. (2021)"
2,Data Science,Machine Learning,978-981-16-1680-8,"XX, 480",2021,0,5,Springer Singapore,129.00,169.99,NA,NA,NA,"Verma, G. K. (Ed), Soni, B. (Ed), Bourennane, S. (Ed), Ramos, A. C. B. (Ed) (2021)"
2,Privacy-Preserving in Edge Computing,Computer Communication Networks,978-981-16-2198-7,"X, 150",2021,0,5,Springer Singapore,109.00,149.99,NA,NA,NA,"Gao, L., Luan, T. H., Gu, B., Qu, Y., Xiang, Y. (2021)"
2,The Past Web,Information Storage and Retrieval,978-3-030-63290-8,"XVIII, 299",2021,0,5,Springer International Publishing,119.00,159.99,NA,NA,NA,"Gomes, D. (Ed), Demidova, E. (Ed), Winters, J. (Ed), Risse, T. (Ed) (2021)"
2,Smart Technologies in Data Science and Communication,Data Engineering,978-981-16-1772-0,"XVI, 387",2021,0,5,Springer Singapore,219.00,279.99,NA,NA,NA,"Saha, S. K. (Ed), Pang, P. S. (Ed), Bhattacharyya, D. (Ed) (2021)"
2,Mobile Computing and Sustainable Informatics,Computational Intelligence,978-981-16-1865-9,"XIV, 910",2021,0,5,Springer Singapore,189.00,NA,249.99,NA,NA,"Shakya, S. (Ed), Bestak, R. (Ed), Palanisamy, R. (Ed), Kamel, K. A. (Ed) (2021)"
2,Multi-Site Network and Security Services with NSX-T,Professional Computing,978-1-4842-7082-0,"XIV, 349",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Hoogendoorn, I. (2021)"
2,Artificial Intelligence and Sustainable Computing,Computational Intelligence,978-981-16-1219-0,"XX, 447",2021,0,5,Springer Singapore,219.00,279.99,NA,NA,NA,"Dubey, H. M. (Ed), Pandit, M. (Ed), Srivastava, L. (Ed), Panigrahi, B. K. (Ed) (2021)"
2,Embedded Robotics,Artificial Intelligence,978-981-16-0803-2,"X, 503",2021,0,5,Springer Singapore,54.99,NA,69.99,NA,NA,"Brunl, T. (2021)"
3,Applications of Artificial Intelligence in Engineering,Computational Intelligence,978-981-334-603-1,"XVI, 941",2021,0,5,Springer Singapore,219.00,279.99,NA,NA,NA,"Gao, X. (Ed), Kumar, R. (Ed), Srivastava, S. (Ed), Soni, B. P. (Ed) (2021)"
3,Sixth International Conference on Intelligent Computing and Applications,Computational Intelligence,978-981-16-1334-0,"X, 576",2021,0,5,Springer Singapore,219.00,NA,279.99,NA,NA,"Dash, S. S. (Ed), Panigrahi, B. K. (Ed), Das, S. (Ed) (2021)"
3,Intelligent Data Analysis for COVID-19 Pandemic,Computational Intelligence,978-981-16-1573-3,"XIV, 416",2021,0,5,Springer Singapore,139.00,179.99,NA,NA,NA,"Niranjanamurthy, M. (Ed), Bhattacharyya, S. (Ed), Kumar, N. (Ed) (2021)"
3,"Writing Futures: Collaborative, Algorithmic, Autonomous",Computational Intelligence,978-3-030-70927-3,"XIV, 194",2021,0,5,Springer International Publishing,109.00,149.99,NA,NA,NA,"Duin, A. H., Pedersen, I. (2021)"
3,Words and Power,History of Computing,978-3-030-70372-1,"XIV, 120",2021,0,5,Springer International Publishing,34.99,44.99,NA,NA,NA,"Longo, B. (2021)"
3,The Development of Natural Language Processing,Artificial Intelligence,978-981-16-1985-4,"X, 96",2021,0,5,Springer Singapore,24.99,NA,34.99,NA,NA,", () (2021)"
3,Agile Testing,Software Engineering / Programming and Operating Systems,978-3-030-73208-0,"X, 208",2021,0,5,Springer International Publishing,59.99,NA,79.99,NA,NA,"Baumgartner, M., Klonk, M., Mastnak, C., Pichler, H., Seidl, R., Tanczos, S. (2021)"
3,Human-Robot Body Experience,User Interfaces and Human Computer Interaction,978-3-030-38687-0,"IX, 95",2021,0,5,Springer International Publishing,119.00,159.99,NA,NA,NA,"Beckerle, P. (2021)"
3,Converging Clinical and Engineering Research on Neurorehabilitation IV,Biomedical Engineering and Bioengineering,978-3-030-70315-8,"X, 958",2021,0,5,Springer International Publishing,349.00,449.99,NA,NA,NA,"Torricelli, D. (Ed), Akay, M. (Ed), Pons, J. L. (Ed) (2021)"
3,Practical Arduino Engineering,Hardware and Maker,978-1-4842-6851-3,"X, 589",2021,0,5,Apress,44.99,NA,59.99,NA,NA,"Timmis, H. (2021)"
3,Membrane Computing Models: Implementations,Simulation and Modeling,978-981-16-1565-8,"X, 283",2021,0,5,Springer Singapore,129.00,169.99,NA,NA,NA,"Zhang, G., Prez-Jimnez, M. J., Riscos-Nez, A., Verlan, S., Konur, S., Hinze, T., Gheorghe, M. (2021)"
3,"Intelligent Communication, Control and Devices",Computational Intelligence,978-981-16-1509-2,"VIII, 410",2021,0,5,Springer Singapore,189.00,NA,249.99,NA,NA,"Choudhury, S. (Ed), Gowri, R. (Ed), Sena Paul, B. (Ed), Do, D. (Ed) (2021)"
3,"Data-Driven Mining, Learning and Analytics for Secured Smart Cities",Computer Communication Networks,978-3-030-72138-1,"X, 426",2021,0,5,Springer International Publishing,129.00,169.99,NA,NA,NA,"Chakraborty, C. (Ed), Lin, J. C. (Ed), Alazab, M. (Ed) (2021)"
3,The Fourth Industrial Revolution,Innovation/Technology Management,978-981-16-1613-6,"XII, 244",2021,0,5,Springer Singapore,119.00,159.99,NA,NA,NA,"Nankervis, A. (Ed), Connell, J. (Ed), Montague, A. (Ed), Burgess, J. (Ed) (2021)"
3,Introduction to Discrete Event Systems,Discrete Mathematics in Computer Science,978-3-030-72272-2,"XXVI, 814",2021,0,5,Springer International Publishing,119.00,159.99,NA,NA,NA,"Cassandras, C. G., Lafortune, S. (2021)"
3,"Advances in Artificial Intelligence, Computation, and Data Science",Bioinformatics,978-3-030-69950-5,"XVIII, 388",2021,0,5,Springer International Publishing,149.00,199.99,NA,NA,NA,"Pham, T. D. (Ed), Yan, H. (Ed), Ashraf, M. W. (Ed), Sjberg, F. (Ed) (2021)"
3,Artificial Intelligence,Artificial Intelligence,978-3-030-72356-9,"X, 490",2021,0,5,Springer International Publishing,54.99,69.99,NA,NA,NA,"Aggarwal, C. C. (2021)"
3,The Regularized Fast Hartley Transform,"Signal, Image and Speech Processing",978-3-030-68244-6,"X, 330",2021,0,5,Springer International Publishing,99.00,129.00,NA,NA,NA,"Jones, K. J. (2021)"
3,Soft Computing: Theories and Applications,Computational Intelligence,978-981-16-1739-3,"XII, 611",2021,0,5,Springer Singapore,169.00,NA,219.99,NA,NA,"Sharma, T. K. (Ed), Ahn, C. W. (Ed), Verma, O. P. (Ed), Panigrahi, B. K. (Ed) (2021)"
3,Choose Your InfoSec Path,Systems and Data Security,978-1-4842-7035-6,"XII, 361",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Roxon, A. J. (2021)"
4,Internet of Things Security,Systems and Data Security,978-981-16-1371-5,"X, 331",2021,0,5,Springer Singapore,139.00,179.99,NA,NA,NA,"Wu, C. (2021)"
4,The Mind-Technology Problem,Philosophy of Mind,978-3-030-72643-0,"X, 321",2021,0,5,Springer International Publishing,109.00,139.99,NA,NA,NA,"Clowes, R. W. (Ed), Grtner, K. (Ed), Hiplito, I. (Ed) (2021)"
4,Soft Computing: Theories and Applications,Computational Intelligence,978-981-16-1695-2,"XII, 524",2021,0,5,Springer Singapore,169.00,NA,219.99,NA,NA,"Sharma, T. K. (Ed), Ahn, C. W. (Ed), Verma, O. P. (Ed), Panigrahi, B. K. (Ed) (2021)"
4,Automated Design of Machine Learning and Search Algorithms,Artificial Intelligence,978-3-030-72068-1,"XVIII, 200",2021,0,5,Springer International Publishing,109.00,149.99,NA,NA,NA,"Pillay, N. (Ed), Qu, R. (Ed) (2021)"
4,6G Mobile Wireless Networks,Computer Communication Networks,978-3-030-72776-5,"IV, 356",2021,0,5,Springer International Publishing,129.00,169.99,NA,NA,NA,"Wu, Y. (Ed), Singh, S. (Ed), Taleb, T. (Ed), Roy, A. (Ed), Dhillon, H. S. (Ed), Kanagarathinam, M. R. (Ed), De, A. (Ed) (2021)"
4,Smart Computing Techniques and Applications,Computational Intelligence,978-981-16-1501-6,"XIV, 720",2021,0,5,Springer Singapore,219.00,279.99,NA,NA,NA,"Satapathy, S. C. (Ed), Bhateja, V. (Ed), Favorskaya, M. N. (Ed), Adilakshmi, T. (Ed) (2021)"
4,Machine Learning in Dentistry,Dentistry,978-3-030-71880-0,"X, 150",2021,0,5,Springer International Publishing,119.00,159.99,NA,NA,NA,"Ko, C. (Ed), Shen, D. (Ed), Wang, L. (Ed) (2021)"
4,Hi-C Data Analysis,Bioinformatics,978-1-0716-1389-4,"VI, 243",2021,0,5,Springer US,169.00,219.99,NA,NA,NA,"Bicciato, S. (Ed), Ferrari, F. (Ed) (2021)"
4,Minding the Future,Artificial Intelligence,978-3-030-64268-6,"X, 294",2021,0,5,Springer International Publishing,29.99,NA,37.99,NA,NA,"Dainton, B. (Ed), Slocombe, W. (Ed), Tanyi, A. (Ed) (2021)"
4,Advances in Intelligent Information Hiding and Multimedia Signal Processing,Computational Intelligence,978-981-336-756-2,"XVIII, 525",2021,0,5,Springer Singapore,189.00,249.99,NA,NA,NA,"Pan, J. (Ed), Li, J. (Ed), Ryu, K. H. (Ed), Meng, Z. (Ed), Klasnja-Milicevic, A. (Ed) (2021)"
4,Proceedings of Research and Applications in Artificial Intelligence,Computational Intelligence,978-981-16-1542-9,"XVIII, 314",2021,0,5,Springer Singapore,169.00,NA,219.99,NA,NA,"Pan, I. (Ed), Mukherjee, A. (Ed), Piuri, V. (Ed) (2021)"
4,Test-Driven Development with React,Web Development,978-1-4842-6971-8,"X, 174",2021,0,5,Apress,29.99,NA,39.99,NA,NA,"Qiu, J. (2021)"
4,New Trends in Applied Analysis and Computational Mathematics,Computational Intelligence,978-981-16-1401-9,"XII, 316",2021,0,5,Springer Singapore,169.00,NA,219.99,NA,NA,"Paikray, S. K. (Ed), Dutta, H. (Ed), Mordeson, J. N. (Ed) (2021)"
4,Simulation Tools and Techniques,Numerical Analysis,978-3-030-72794-9,"XXII, 780",2021,0,5,Springer International Publishing,129.00,NA,169.99,NA,NA,"Song, H. (Ed), Jiang, D. (Ed) (2021)"
4,Simulation Tools and Techniques,Computer Systems Organization and Communication Networks,978-3-030-72791-8,"XXI, 824",2021,0,5,Springer International Publishing,109.00,NA,149.99,NA,NA,"Song, H. (Ed), Jiang, D. (Ed) (2021)"
4,Modelling to Program,Software Engineering / Programming and Operating Systems,978-3-030-72695-9,"X, 233",2021,0,5,Springer International Publishing,64.99,NA,84.99,NA,NA,"Dahanayake, A. (Ed), Pastor, O. (Ed), Thalheim, B. (Ed) (2021)"
4,Artificial Intelligence: Theory and Applications,Computational Intelligence,978-3-030-72710-9,"XII, 335",2021,0,5,Springer International Publishing,129.00,169.99,NA,NA,NA,"Pap, E. (Ed) (2021)"
4,Big Data Technologies and Applications,Computer Communication Networks,978-3-030-72801-4,"XII, 209",2021,0,5,Springer International Publishing,59.99,NA,74.99,NA,NA,"Deze, Z. (Ed), Huang, H. (Ed), Hou, R. (Ed), Rho, S. (Ed), Chilamkurti, N. (Ed) (2021)"
4,Knowing our World: An Artificial Intelligence Perspective,Artificial Intelligence,978-3-030-71872-5,"X, 290",2021,0,5,Springer International Publishing,119.00,159.99,NA,NA,NA,"Luger, G. F. (2021)"
4,A Holistic View of Software and Hardware Reuse,Environmental Policy,978-3-030-72260-9,"XXXI, 326",2021,0,5,Springer International Publishing,84.99,109.99,NA,NA,NA,"Belli, F., Quella, F. (2021)"
5,Soft Computing for Intelligent Systems,Computational Intelligence,978-981-16-1047-9,"XIV, 686",2021,0,5,Springer Singapore,189.00,249.99,NA,NA,NA,"Marriwala, N. (Ed), Tripathi, C. C. (Ed), Jain, S. (Ed), Mathapathi, S. (Ed) (2021)"
5,Research Challenges in Information Science: Information Science and Global Crisis,Computer Applications,978-3-030-75017-6,"XX, 678",2021,0,5,Springer International Publishing,84.99,NA,109.99,NA,NA,"Cherfi, S. (Ed), Perini, A. (Ed), Nurcan, S. (Ed) (2021)"
5,Vector Analysis for Computer Graphics,Computer Graphics,978-1-4471-7504-9,"XI, 249",2021,0,5,Springer-Verlag London,59.99,79.99,NA,NA,NA,"Vince, J. (2021)"
5,Computer Networks and Inventive Communication Technologies,"Communications Engineering, Networks",978-981-15-9646-9,"XV, 1119",2021,0,5,Springer Singapore,269.00,349.99,NA,NA,NA,"Smys, S. (Ed), Palanisamy, R. (Ed), Rocha, . (Ed), Beligiannis, G. N. (Ed) (2021)"
5,Proceedings of International Conference on Scientific and Natural Computing,Computational Intelligence,978-981-16-1527-6,"VIII, 318",2021,0,5,Springer Singapore,189.00,249.99,NA,NA,NA,"Singh, D. (Ed), Awasthi, A. K. (Ed), Zelinka, I. (Ed), Kusum, D. (Ed) (2021)"
5,Data Engineering and Intelligent Computing,Computational Intelligence,978-981-16-0170-5,"X, 525",2021,0,5,Springer Singapore,219.00,NA,279.99,NA,NA,"Bhateja, V. (Ed), Satapathy, S. C. (Ed), Travieso-Gonzlez, C. M. (Ed), Aradhya, V. N. M. (Ed) (2021)"
5,Software Sustainability,Software Engineering,978-3-030-69969-7,"X, 240",2021,0,5,Springer International Publishing,119.00,159.00,NA,NA,NA,"Calero, C. (Ed), Moraga, M. . (Ed), Piattini, M. (Ed) (2021)"
5,Advances in  Information Retrieval,Information Storage and Retrieval,978-3-030-72112-1,"XXXIII, 776",2021,0,5,Springer International Publishing,89.00,NA,119.99,NA,NA,"Hiemstra, D. (Ed), Moens, M. (Ed), Mothe, J. (Ed), Perego, R. (Ed), Potthast, M. (Ed), Sebastiani, F. (Ed) (2021)"
5,Making Images with Mathematics,Computer Graphics,978-3-030-69834-8,"XI, 271",2021,0,5,Springer International Publishing,39.99,NA,54.99,NA,NA,"Sourin, A. (2021)"
5,Computer-Aided Analysis of Gastrointestinal Videos,Image Processing and Computer Vision,978-3-030-64339-3,"XXI, 174",2021,0,5,Springer International Publishing,119.00,159.99,NA,NA,NA,"Bernal, J. (Ed), Histace, A. (Ed) (2021)"
5,Explainable Neural Networks Based on Fuzzy Logic and Multi-criteria Decision Tools,Computational Intelligence,978-3-030-72279-1,"XXI, 173",2021,0,5,Springer International Publishing,109.00,149.99,NA,NA,NA,"Dombi, J., Csiszr, O. (2021)"
5,Organizational Learning in the Age of Data,"Communications Engineering, Networks",978-3-030-74865-4,"XV, 313",2021,0,5,Springer International Publishing,79.99,99.99,NA,NA,NA,"Banasiewicz, A. (2021)"
5,Soft Computing and Signal Processing,Computational Intelligence,978-981-16-1248-0,"XXIV, 626",2021,0,5,Springer Singapore,229.00,NA,299.99,NA,NA,"Reddy, V. S. (Ed), Prasad, V. K. (Ed), Wang, J. (Ed), Reddy, K. T. V. (Ed) (2021)"
5,Natural Language Processing in Artificial IntelligenceNLPinAI 2020,Computational Intelligence,978-3-030-63786-6,"VII, 245",2021,0,5,Springer International Publishing,149.00,199.99,NA,NA,NA,"Loukanova, R. (Ed) (2021)"
5,Blockchain Intelligence,Professional Computing,978-981-16-0126-2,"X, 177",2021,0,5,Springer Singapore,109.00,149.99,NA,NA,NA,"Zheng, Z. (Ed), Dai, H. (Ed), Wu, J. (Ed) (2021)"
5,ABAP in Eclipse,Professional Computing,978-1-4842-6962-6,"X, 220",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Pgiel, . (2021)"
5,Proceedings of the 21st Congress of the International Ergonomics Association (IEA 2021),User Interfaces and Human Computer Interaction,978-3-030-74607-0,"XXX, 886",2021,0,5,Springer International Publishing,169.00,NA,219.99,NA,NA,"Black, N. (Ed), Neumann, P. (Ed), Noy, I. (Ed) (2021)"
5,Python Programming for Data Analysis,"Communications Engineering, Networks",978-3-030-68951-3,"XII, 263",2021,0,5,Springer International Publishing,69.99,89.99,NA,NA,NA,"Unpingco, J. (2021)"
5,World Internet Development Report 2019,"Communications Engineering, Networks",978-981-336-937-5,"LVII, 148",2021,0,5,Springer Singapore,119.00,159.99,NA,NA,NA,", () (2021)"
5,Benefit/Cost-Driven Agile Software Development with Benefit Points and Size Points,Mathematical Software,978-3-030-74217-1,"XI, 103",2021,0,5,Springer International Publishing,,NA,37.99,NA,NA,"Hannay, J. E. (2021)"
6,Collective Behavior in Complex Networked Systems under Imperfect Communication,Information Systems Applications (incl.Internet),978-981-16-1505-4,"X, 291",2021,0,5,Springer Singapore,109.00,149.99,NA,NA,NA,"Lu, J., Li, L., Ho, D. W., Cao, J. (2021)"
6,Recent Trends in Mechatronics Towards Industry 4.0,"Control , Robotics, Mechatronics",978-981-334-596-6,"XV, 952",2021,0,5,Springer Singapore,189.00,249.99,NA,NA,NA,"Ab. Nasir, A. F. (Ed), Ibrahim, A. N. (Ed), Ishak, I. (Ed), Mat Yahya, N. (Ed), Zakaria, M. A. (Ed), P. P. Abdul Majeed, A. (Ed) (2021)"
6,Intelligent Systems Design and Applications,Computational Intelligence,978-3-030-71186-3,"XV, 1366",2021,0,5,Springer International Publishing,189.00,NA,249.99,NA,NA,"Abraham, A. (Ed), Piuri, V. (Ed), Gandhi, N. (Ed), Siarry, P. (Ed), Kaklauskas, A. (Ed), Madureira, A. (Ed) (2021)"
6,Smart Computing and Communication,Computer Communication Networks,978-3-030-74716-9,"XI, 294",2021,0,5,Springer International Publishing,54.99,NA,69.99,NA,NA,"Qiu, M. (Ed) (2021)"
6,SAP S/4HANA Embedded Analytics,Professional Computing,978-1-4842-7016-5,"XV, 287",2021,0,5,Apress,34.99,NA,44.99,NA,NA,"Keijzer, F. (2021)"
6,Statistical Learning with Math and Python,Artificial Intelligence,978-981-15-7876-2,"X, 230",2021,0,5,Springer Singapore,34.99,NA,44.99,NA,NA,"Suzuki, J. (2021)"
6,Geometry and Vision,Artificial Intelligence,978-3-030-72072-8,"XIII, 394",2021,0,5,Springer International Publishing,69.99,NA,89.99,NA,NA,"Nguyen, M. (Ed), Yan, W. Q. (Ed), Ho, H. (Ed) (2021)"
6,"Universal, Intuitive, and Permanent Pictograms",User Interfaces and Human Computer Interaction,978-3-658-32309-7,"VIII, 308",2021,0,5,Springer,129.00,169.99,NA,NA,NA,"Bhler, D. (2021)"
6,Emerging Technologies in Data Mining and Information Security,Computational Intelligence,978-981-15-9926-2,"VIII, 867",2021,0,5,Springer Singapore,189.00,NA,249.99,NA,NA,"Hassanien, A. E. (Ed), Bhattacharyya, S. (Ed), Chakrabati, S. (Ed), Bhattacharya, A. (Ed), Dutta, S. (Ed) (2021)"
6,Data Science for Fake News,Information Storage and Retrieval,978-3-030-62695-2,"XIII, 304",2021,0,5,Springer International Publishing,119.00,159.99,NA,NA,NA,"P, D., Chakraborty, T., Long, C., G, S. K. (2021)"
6,Computational Intelligence in Healthcare,Health Informatics,978-3-030-68722-9,"XX, 350",2021,0,5,Springer International Publishing,129.00,169.99,NA,NA,NA,"Manocha, A. K. (Ed), Jain, S. (Ed), Singh, M. (Ed), Paul, S. (Ed) (2021)"
6,Advances in Enterprise Engineering XIV,Computer Applications,978-3-030-74195-2,"X, 243",2021,0,5,Springer International Publishing,54.99,NA,69.99,NA,NA,"Aveiro, D. (Ed), Guizzardi, G. (Ed), Pergl, R. (Ed), Proper, H. A. (Ed) (2021)"
6,Transactional Machine Learning with Data Streams and AutoML,Machine Learning,978-1-4842-7022-6,"X, 302",2021,0,5,Apress,39.99,NA,49.99,NA,NA,"Maurice, S. (2021)"
6,Recent Trends in Engineering Design,Engineering Design,978-981-16-1078-3,"VIII, 354",2021,0,5,Springer Singapore,189.00,NA,249.99,NA,NA,"Parey, A. (Ed), Kumar, R. (Ed), Singh, M. (Ed) (2021)"
6,The Psychology of Artificial Superintelligence,Computational Intelligence,978-3-030-71841-1,"XIII, 140",2021,0,5,Springer International Publishing,119.00,159.99,NA,NA,NA,"Diederich, J. (2021)"
6,Intelligent Computing and Communication Systems,Computational Intelligence,978-981-16-1294-7,"XIII, 368",2021,0,5,Springer Singapore,149.00,199.99,NA,NA,NA,"Singh, B. (Ed), Coello, C. A. C. (Ed), Jindal, P. (Ed), Verma, P. (Ed) (2021)"
6,Big Data and Social Media Analytics,Statistics (general),978-3-030-67043-6,"X, 240",2021,0,5,Springer International Publishing,109.00,149.99,NA,NA,NA,"akrta, M. (Ed), Ozdemir, M. K. (Ed) (2021)"
6,Proceedings of International Joint Conference on Advances in Computational Intelligence,Computational Intelligence,978-981-16-0585-7,"X, 530",2021,0,5,Springer Singapore,189.00,249.99,NA,NA,NA,"Uddin, M. S. (Ed), Bansal, J. C. (Ed) (2021)"
6,Blockchain Gaps,"Business and Management, general",978-981-336-051-8,"XII, 110",2021,0,5,Springer Singapore,64.99,84.99,NA,NA,NA,"Matsuo, S. (Ed), Sakimura, N. (Ed) (2021)"
